step,agent_idx,junction_id,reward,episode_reward
53,6,J11,-1.5e-05,45.47180151497391
53,7,J12,-1.5e-05,45.47180151497391
53,8,J22,-1.5e-05,45.47180151497391
54,0,J0,0.329985,46.70166651497391
54,1,J1,0.299985,46.70166651497391
54,2,J5,-1.5e-05,46.70166651497391
54,3,J6,-1.5e-05,46.70166651497391
54,4,J7,-1.5e-05,46.70166651497391
54,5,J10,0.299985,46.70166651497391
54,6,J11,-1.5e-05,46.70166651497391
54,7,J12,-1.5e-05,46.70166651497391
54,8,J22,0.299985,46.70166651497391
55,0,J0,0.029984999999999998,47.63153151497391
55,1,J1,-1.5e-05,47.63153151497391
55,2,J5,-1.5e-05,47.63153151497391
55,3,J6,0.299985,47.63153151497391
55,4,J7,-1.5e-05,47.63153151497391
55,5,J10,-1.5e-05,47.63153151497391
55,6,J11,0.299985,47.63153151497391
55,7,J12,0.299985,47.63153151497391
55,8,J22,-1.5e-05,47.63153151497391
56,0,J0,0.025677810861169256,47.882089325835075
56,1,J1,-1.5e-05,47.882089325835075
56,2,J5,-1.5e-05,47.882089325835075
56,3,J6,-1.5e-05,47.882089325835075
56,4,J7,-1.5e-05,47.882089325835075
56,5,J10,0.224985,47.882089325835075
56,6,J11,-1.5e-05,47.882089325835075
56,7,J12,-1.5e-05,47.882089325835075
56,8,J22,-1.5e-05,47.882089325835075
57,0,J0,0.025677810861169256,49.03264713669624
57,1,J1,-1.5e-05,49.03264713669624
57,2,J5,-1.5e-05,49.03264713669624
57,3,J6,0.299985,49.03264713669624
57,4,J7,-1.5e-05,49.03264713669624
57,5,J10,0.224985,49.03264713669624
57,6,J11,0.299985,49.03264713669624
57,7,J12,0.299985,49.03264713669624
57,8,J22,-1.5e-05,49.03264713669624
58,0,J0,0.025677810861169256,50.18320494755741
58,1,J1,-1.5e-05,50.18320494755741
58,2,J5,0.299985,50.18320494755741
58,3,J6,0.299985,50.18320494755741
58,4,J7,-1.5e-05,50.18320494755741
58,5,J10,0.224985,50.18320494755741
58,6,J11,-1.5e-05,50.18320494755741
58,7,J12,-1.5e-05,50.18320494755741
58,8,J22,0.299985,50.18320494755741
59,0,J0,0.025677810861169256,50.88376275841858
59,1,J1,-1.5e-05,50.88376275841858
59,2,J5,0.149985,50.88376275841858
59,3,J6,-1.5e-05,50.88376275841858
59,4,J7,-1.5e-05,50.88376275841858
59,5,J10,0.224985,50.88376275841858
59,6,J11,-1.5e-05,50.88376275841858
59,7,J12,-1.5e-05,50.88376275841858
59,8,J22,0.299985,50.88376275841858
60,0,J0,0.025677810861169256,51.78432056927974
60,1,J1,-1.5e-05,51.78432056927974
60,2,J5,0.149985,51.78432056927974
60,3,J6,0.299985,51.78432056927974
60,4,J7,-1.5e-05,51.78432056927974
60,5,J10,0.224985,51.78432056927974
60,6,J11,-1.5e-05,51.78432056927974
60,7,J12,0.199985,51.78432056927974
60,8,J22,-1.5e-05,51.78432056927974
61,0,J0,0.025677810861169256,52.00987838014091
61,1,J1,-1.5e-05,52.00987838014091
61,2,J5,-1.5e-05,52.00987838014091
61,3,J6,-1.5e-05,52.00987838014091
61,4,J7,-1.5e-05,52.00987838014091
61,5,J10,-1.5e-05,52.00987838014091
61,6,J11,-1.5e-05,52.00987838014091
61,7,J12,0.199985,52.00987838014091
61,8,J22,-1.5e-05,52.00987838014091
62,0,J0,0.025677810861169256,52.53543619100208
62,1,J1,-1.5e-05,52.53543619100208
62,2,J5,0.299985,52.53543619100208
62,3,J6,0.199985,52.53543619100208
62,4,J7,-1.5e-05,52.53543619100208
62,5,J10,-1.5e-05,52.53543619100208
62,6,J11,-1.5e-05,52.53543619100208
62,7,J12,-1.5e-05,52.53543619100208
62,8,J22,-1.5e-05,52.53543619100208
63,0,J0,0.025677810861169256,53.160994001863244
63,1,J1,-1.5e-05,53.160994001863244
63,2,J5,0.299985,53.160994001863244
63,3,J6,-1.5e-05,53.160994001863244
63,4,J7,0.299985,53.160994001863244
63,5,J10,-1.5e-05,53.160994001863244
63,6,J11,-1.5e-05,53.160994001863244
63,7,J12,-1.5e-05,53.160994001863244
63,8,J22,-1.5e-05,53.160994001863244
64,0,J0,0.32567781086116926,54.31155181272441
64,1,J1,-1.5e-05,54.31155181272441
64,2,J5,-1.5e-05,54.31155181272441
64,3,J6,0.299985,54.31155181272441
64,4,J7,0.299985,54.31155181272441
64,5,J10,0.224985,54.31155181272441
64,6,J11,-1.5e-05,54.31155181272441
64,7,J12,-1.5e-05,54.31155181272441
64,8,J22,-1.5e-05,54.31155181272441
